col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23
Salt,Salt,Salt,Salt,-1-,-2-,-3-,-4-,-5-,-6-,-7-,-8-,-9-,-10-,-11-,-12-,-13-,-14-,-15-,-16-,-17-,-18-,-19-,-20-
,,,,(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Water Extracted From Saturated Paste - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -),1:2,,
,,,,,,,,,,,,,,,,,,,Total,Elec,Elec,Exch,
,Depth,,,Ca,Mg,Na,K,CO 3,HCO 3,F,Cl,PO 4,Br,OAC,SO 4,NO 2,NO 3,H 2 O,Salts,Cond,Cond,Na,SAR
Layer,(cm),Horz,Prep,(- - - - - mmol(+) L -1 - - - - -),(- - - - - mmol(+) L -1 - - - - -),(- - - - - mmol(+) L -1 - - - - -),(- - - - - mmol(+) L -1 - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - - - - - - - - - - - - - - - - - - - mmol(-) L -1 - - - - - - - - - - - - - - - - - - - -),(- - - - % - - - -),(- - - - % - - - -),(- - dS m -1 - -),(- - dS m -1 - -),%,
,,,,6N1a,6O1a,6P1a,6Q1a,6I1a,6J1a,,6K1b,,,,6L1a,,,8A,8D5,8A1a,,,
40A01370,0-15,E,S,0.6,0.6,3.5,0.2,--,tr,,2.6,,,,1.1,,,33.7,tr,0.52,,,5
40A01371,15-36,Bt1,S,0.5,0.1,18.6,0.1,--,0.9,,16.9,,,,3.3,,,48.2,0.1,2.33,,,34
40A01372,36-66,Bt2,S,0.5,5.4,60.4,0.6,--,0.2,,34.3,,,,37.0,,,71.7,tr,7.00,,,35
40A01373,66-100,Bt3,S,0.9,10.1,82.7,0.1,--,2.7,,47.5,,,,52.6,,,89.2,tr,9.40,,,35
40A01374,100-125,Bt4,S,0.5,5.8,63.5,0.3,--,2.6,,36.1,,,,36.3,,,101.5,tr,7.10,,,36
40A01375,125-165,Bk,S,0.6,1.5,34.2,0.2,--,3.1,,20.7,,,,11.6,,,85.0,0.2,3.62,,,33
40A01376,165-195,C1,S,0.3,1.6,16.9,0.2,--,3.5,,12.4,,,,3.1,,,67.9,0.1,2.10,,,17
40A01377,195-230,C2,S,0.6,1.2,9.7,0.1,--,3.0,,7.8,,,,1.0,,,56.9,tr,1.32,,,10
40A01378,230-270,C3,S,0.5,1.0,5.0,tr,--,2.6,,2.2,,,,1.3,,,48.0,tr,0.69,,,6
